"Region; Causes","Number of deaths; 2012; Male; 0-27 days","Number of deaths; 2012; Male; 1-59 months","Number of deaths; 2012; Male; 5-14 years","Number of deaths; 2012; Male; 15-29  years","Number of deaths; 2012; Male; 30-49 years","Number of deaths; 2012; Male; 50-59  years","Number of deaths; 2012; Male; 60-69  years","Number of deaths; 2012; Male; 70+  years","Number of deaths; 2012; Male; All ages (total) years","Number of deaths; 2012; Female; 0-27 days","Number of deaths; 2012; Female; 1-59 months","Number of deaths; 2012; Female; 5-14 years","Number of deaths; 2012; Female; 15-29  years","Number of deaths; 2012; Female; 30-49 years","Number of deaths; 2012; Female; 50-59  years","Number of deaths; 2012; Female; 60-69  years","Number of deaths; 2012; Female; 70+  years","Number of deaths; 2012; Female; All ages (total) years","Number of deaths; 2012; Both sexes; All ages (total) years","Number of deaths; 2000; Male; 0-27 days","Number of deaths; 2000; Male; 1-59 months","Number of deaths; 2000; Male; 5-14 years","Number of deaths; 2000; Male; 15-29  years","Number of deaths; 2000; Male; 30-49 years","Number of deaths; 2000; Male; 50-59  years","Number of deaths; 2000; Male; 60-69  years","Number of deaths; 2000; Male; 70+  years","Number of deaths; 2000; Male; All ages (total) years","Number of deaths; 2000; Female; 0-27 days","Number of deaths; 2000; Female; 1-59 months","Number of deaths; 2000; Female; 5-14 years","Number of deaths; 2000; Female; 15-29  years","Number of deaths; 2000; Female; 30-49 years","Number of deaths; 2000; Female; 50-59  years","Number of deaths; 2000; Female; 60-69  years","Number of deaths; 2000; Female; 70+  years","Number of deaths; 2000; Female; All ages (total) years","Number of deaths; 2000; Both sexes; All ages (total) years"
"Low-income; Diphtheria","0","232","224","21","10","5","0","0","492","0","224","217","15","7","4","0","0","467","959","0","522","438","30","20","10","0","0","1020","0","492","467","23","9","5","0","0","996","2016"
"Low-income; Measles","0","22832","3895","363","38","8","0","0","27136","0","24168","4446","466","48","7","0","0","29135","56271","0","97320","20193","1916","180","43","0","0","119652","0","95120","22717","1892","162","35","0","0","119926","239578"
"Low-income; Tetanus","9807","107","116","76","108","95","68","96","10473","8051","73","107","63","83","59","51","91","8578","19051","27516","232","341","185","232","163","119","145","28933","21046","152","384","162","170","120","96","150","22280","51213"
"Low-income; Meningitis","0","28519","16142","14321","9966","4192","3602","3704","80446","0","26524","14933","9407","6493","3764","3754","5165","70040","150486","0","61585","15344","12862","8366","3531","3031","2950","107669","0","58935","13873","7987","4972","3150","3224","4045","96186","203855"
"Low-income; Encephalitis","0","2376","1558","2032","1600","527","392","693","9178","0","2125","1515","1302","1017","429","400","880","7668","16846","0","6983","1578","1845","1354","407","302","493","12962","0","6027","1593","1154","814","347","318","626","10879","23841"
"Low-income; Acute hepatitis B","0","463","224","880","2284","2071","1717","1538","9177","0","260","179","356","1309","1551","1754","2099","7508","16685","1","403","260","802","1721","1318","1109","854","6468","0","217","215","367","860","943","1045","1102","4749","11217"
"Low-income; Acute hepatitis C","0","1","23","67","225","146","128","128","718","0","0","16","37","198","222","243","326","1042","1760","0","1","35","60","185","107","93","78","559","0","0","16","38","137","140","146","179","656","1215"
"Low-income; Parasitic and vector diseases","10","116584","19528","16151","14755","5200","4053","5638","181919","4","113810","20066","12610","11543","4626","4280","7332","174271","356190","11","199486","24585","18358","15216","5340","4179","5176","272351","5","196562","24147","12045","10561","4471","3673","4924","256388","528739"
"Low-income; Malaria","0","113473","8217","8613","8627","3145","2400","3931","148406","0","111837","10461","8197","7224","2520","2488","5153","147880","296286","0","195750","5724","6456","7014","2596","2065","3001","222606","0","193472","6526","5340","5120","1999","1878","3226","217561","440167"
"Low-income; Trypanosomiasis","0","158","2985","3652","2062","312","76","16","9261","0","182","3260","2499","1519","354","92","19","7925","17186","0","215","6667","7442","4232","646","173","30","19405","0","234","6864","4311","2566","726","191","48","14940","34345"
"Low-income; Chagas disease","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Low-income; Schistosomiasis","0","446","1","520","1963","920","920","1009","5779","0","166","1","194","1609","1196","1177","1627","5970","11749","0","108","1","155","1463","1114","1123","1353","5317","0","340","2","217","1440","970","882","1006","4857","10174"
"Low-income; Leishmaniasis","10","1579","4643","1995","1077","359","241","290","10194","4","694","2031","698","388","150","113","153","4231","14425","11","1841","5680","2283","1113","387","267","300","11882","5","793","2625","679","364","167","118","148","4899","16781"
"Low-income; Lymphatic filariasis","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Low-income; Onchocerciasis","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Low-income; Leprosy","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Low-income; Dengue","0","240","491","233","164","58","55","72","1313","0","231","394","170","178","66","72","95","1206","2519","0","319","590","221","137","47","46","57","1417","0","372","619","159","142","48","60","73","1473","2890"
"Low-income; Trachoma","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Low-income; Rabies","0","688","3192","1138","861","406","361","320","6966","0","699","3920","854","625","342","339","285","7064","14030","0","1254","5923","1801","1257","550","505","435","11725","0","1353","7510","1340","930","562","543","423","12661","24386"
"Low-income; Intestinal nematode infections","0","131","140","10","4","2","3","6","296","0","116","123","8","3","2","3","8","263","559","0","151","145","10","4","2","3","5","320","0","134","131","8","4","2","2","6","287","607"
"Low-income; Ascariasis","0","131","140","10","4","2","3","6","296","0","116","123","8","3","2","3","8","263","559","0","151","145","10","4","2","3","5","320","0","134","131","8","4","2","2","6","287","607"
"Low-income; Trichuriasis","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Low-income; Hookworm disease","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Low-income; Other infectious diseases","1194","13481","24333","16380","12445","5243","5052","8035","86163","1012","10696","20598","13442","8656","3962","5024","9571","72961","159124","1358","13898","21225","13743","10066","4356","4180","6007","74833","1012","11409","19076","10428","6402","3362","4171","6821","62681","137514"
"Low-income; Respiratory infections","25388","175674","20859","19444","27057","18284","28324","95119","410149","20026","137041","20157","17138","18785","13659","26004","112781","365591","775740","37867","243849","25685","21134","26849","16726","25418","73711","471239","30727","193218","26323","16828","17917","13164","25342","87291","410810","882049"
"Low-income; Lower respiratory infections","25347","175151","20729","19373","26989","18239","28272","94982","409082","19992","136596","20037","17077","18725","13617","25953","112619","364616","773698","37814","243199","25553","21059","26779","16681","25366","73595","470046","30679","192661","26182","16765","17865","13119","25289","87156","409716","879762"
"Low-income; Upper respiratory infections","34","264","48","24","33","22","34","111","570","27","205","37","22","25","16","31","127","490","1060","45","348","47","27","32","20","32","87","638","38","280","58","20","20","17","31","100","564","1202"
"Low-income; Otitis media","7","259","81","47","35","23","18","27","497","8","240","83","39","34","26","20","35","485","982","8","303","85","48","37","26","20","29","556","10","277","83","43","32","28","22","36","531","1087"
"Low-income; Maternal conditions","0","0","0","0","0","0","0","0","0","0","0","0","65620","61674","0","0","0","127294","127294","0","0","0","0","0","0","0","0","0","0","0","0","90364","87323","0","0","0","177687","177687"
"Low-income; Neonatal conditions","349173","39956","0","0","0","0","0","0","389129","275421","27541","0","0","0","0","0","0","302962","692091","400328","38685","0","0","0","0","0","0","439013","324550","25983","0","0","0","0","0","0","350533","789546"
"Low-income; Preterm birth complications","130732","21773","0","0","0","0","0","0","152505","110644","15997","0","0","0","0","0","0","126641","279146","156156","20748","0","0","0","0","0","0","176904","132643","14815","0","0","0","0","0","0","147458","324362"
"Low-income; Birth asphyxia and birth trauma","129745","13059","0","0","0","0","0","0","142804","93764","7999","0","0","0","0","0","0","101763","244567","148339","11928","0","0","0","0","0","0","160267","111447","6993","0","0","0","0","0","0","118440","278707"
"Low-income; Neonatal sepsis and infections","77531","0","0","0","0","0","0","0","77531","60503","0","0","0","0","0","0","0","60503","138034","81621","0","0","0","0","0","0","0","81621","67773","0","0","0","0","0","0","0","67773","149394"
"Low-income; Other neonatal conditions","11165","5124","0","0","0","0","0","0","16289","10510","3546","0","0","0","0","0","0","14056","30345","14212","6009","0","0","0","0","0","0","20221","12687","4175","0","0","0","0","0","0","16862","37083"
"Low-income; Nutritional deficiencies","0","37561","18679","13217","13498","6552","9239","22684","121430","0","35003","20157","14727","14039","7469","10994","33299","135688","257118","0","45814","21844","14332","14212","6893","9314","20884","133293","1","40883","23210","14428","13406","7825","11350","28660","139763","273056"
"Low-income; Protein-energy malnutrition","0","35617","16296","9589","10893","5630","8014","20293","106332","0","33323","17425","10482","11314","6456","9575","29779","118354","224686","0","43954","20018","11601","12439","6257","8447","19404","122120","0","39436","21160","11506","11865","7142","10332","26552","127993","250113"
"Low-income; Iodine deficiency","0","37","72","514","204","25","22","32","906","0","34","88","478","193","29","19","48","889","1795","0","15","19","163","54","7","5","11","274","0","12","19","125","43","6","5","12","222","496"
"Low-income; Vitamin A deficiency","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Low-income; Iron-deficiency anaemia","0","1860","2279","3077","2346","867","1155","2227","13811","0","1606","2619","3723","2465","946","1347","3278","15984","29795","0","1814","1782","2548","1696","615","841","1430","10726","0","1411","2005","2779","1476","664","991","2037","11363","22089"
"Low-income; Other nutritional deficiencies","0","47","32","36","55","31","47","132","380","0","42","25","44","67","39","54","194","465","845","0","31","26","20","23","14","21","39","174","0","25","27","18","23","13","21","59","186","360"
"Low-income; Noncommunicable diseases","33010","58504","50479","81555","176234","186444","280895","527868","1394989","30242","54547","49759","65620","155757","160241","249041","585352","1350559","2745548","26222","60653","48084","72488","148056","145583","226579","371594","1099259","24327","52720","46964","53433","123715","129455","205451","420004","1056069","2155328"
"Low-income; Malignant neoplasms","0","1941","5704","10630","35990","43111","54342","75608","227326","0","1799","3861","11700","60568","56867","59889","57383","252067","479393","0","1537","4316","8681","28678","32133","41298","51777","168420","0","1555","3262","8761","47386","46086","48110","41504","196664","365084"
"Low-income; Mouth and oropharynx cancers","0","1","90","561","4312","5391","5911","6821","23087","0","1","54","452","2236","2236","2820","2351","10150","33237","0","0","77","467","3189","3690","4307","4811","16541","0","0","47","367","1910","1966","2376","1862","8528","25069"
"Low-income; Oesophagus cancer","0","0","0","156","3755","5635","6174","6780","22500","0","0","0","179","2464","3247","4005","4609","14504","37004","0","0","0","147","3041","4228","4874","5051","17341","0","0","0","196","2511","3238","3716","3665","13326","30667"
"Low-income; Stomach cancer","0","0","0","362","2930","4090","4910","5537","17829","0","0","0","282","2581","2567","3294","3805","12529","30358","0","0","0","395","2805","3588","4318","4227","15333","0","0","0","278","2420","2307","2935","3005","10945","26278"
"Low-income; Colon and rectum cancers","0","0","0","577","2467","2716","3261","3637","12658","0","0","0","441","2445","2389","2954","3579","11808","24466","0","0","0","498","1890","1990","2373","2332","9083","0","0","0","310","1685","1688","2085","2320","8088","17171"
"Low-income; Liver cancer","0","0","157","1205","5206","5141","4869","4312","20890","0","0","138","513","2418","2947","3024","3085","12125","33015","0","0","139","1012","4531","4005","3936","3240","16863","0","0","108","363","1887","2250","2416","2363","9387","26250"
"Low-income; Pancreas cancer","0","0","0","34","551","985","1113","1034","3717","0","0","0","57","551","945","1043","1169","3765","7482","0","0","0","26","390","671","807","701","2595","0","0","0","38","361","651","758","755","2563","5158"
"Low-income; Trachea, bronchus, lung cancers","0","0","0","116","2611","5469","7717","9249","25162","0","0","0","124","1882","3026","4428","5901","15361","40523","0","2","0","133","2149","4129","5584","5271","17268","0","0","0","127","1605","2369","3598","3847","11546","28814"
"Low-income; Melanoma and other skin cancers","0","0","0","113","354","428","598","875","2368","0","0","0","102","337","466","696","949","2550","4918","0","0","0","91","287","319","423","586","1706","0","0","0","89","279","349","513","664","1894","3600"
"Low-income; Breast cancer","0","0","0","0","0","0","0","0","0","0","0","0","2124","15151","9235","7160","5317","38987","38987","0","0","0","0","0","0","0","0","0","0","0","0","1281","9890","6073","4575","3143","24962","24962"
"Low-income; Cervix uteri cancer","0","0","0","0","0","0","0","0","0","0","0","0","1189","14022","13506","12039","9606","50362","50362","0","0","0","0","0","0","0","0","0","0","0","0","1025","12538","12661","10913","7862","44999","44999"
"Low-income; Corpus uteri cancer","0","0","0","0","0","0","0","0","0","0","0","0","52","464","699","933","1207","3355","3355","0","0","0","0","0","0","0","0","0","0","0","0","40","361","546","761","974","2682","2682"
"Low-income; Ovary cancer","0","0","0","0","0","0","0","0","0","0","1","1","598","2854","2851","2541","1978","10824","10824","0","0","0","0","0","0","0","0","0","0","0","1","445","1962","2017","1789","1343","7557","7557"
"Low-income; Prostate cancer","0","0","0","232","345","96","3552","19217","23442","0","0","0","0","0","0","0","0","0","23442","0","0","0","164","283","70","2533","12921","15971","0","0","0","0","0","0","0","0","0","15971"
"Low-income; Bladder cancer","0","0","0","81","511","678","1203","2221","4694","0","0","0","36","262","491","747","1061","2597","7291","0","3","0","67","446","560","945","1589","3610","0","0","0","31","248","478","659","800","2216","5826"
"Low-income; Lymphomas, multiple myeloma","0","358","975","1359","1966","1645","2347","2357","11007","0","286","442","845","1633","1581","1629","1597","8013","19020","0","289","738","1074","1473","1132","1667","1601","7974","0","242","373","604","1145","1150","1176","1067","5757","13731"
"Low-income; Leukaemia","0","467","1339","1934","1984","1172","1201","1202","9299","0","427","714","941","1739","1149","1174","1266","7410","16709","0","413","1058","1575","1473","821","853","805","6998","0","410","653","719","1243","815","815","802","5457","12455"
"Low-income; Other malignant neoplasms","0","1115","3144","3901","9000","9666","11487","12366","50679","0","1084","2513","3765","9531","9534","11404","9905","47736","98415","0","831","2304","3032","6722","6930","8679","8641","37139","0","904","2079","2849","7344","7529","9023","7032","36760","73899"
"Low-income; Other neoplasms","1","237","380","834","1320","1255","1272","1792","7091","0","216","375","368","1535","1000","1195","1566","6255","13346","0","180","301","599","844","858","928","1203","4913","0","168","310","258","1036","701","867","1041","4381","9294"
"Low-income; Diabetes mellitus","137","685","791","2335","6770","9506","15888","27340","63452","147","647","1149","2039","5437","8809","17703","35749","71680","135132","152","715","762","1939","5052","6675","11502","18428","45225","146","634","982","1530","3868","6195","12876","22972","49203","94428"
"Low-income; Endocrine, blood, immune disorders","0","5391","7102","5444","4240","2214","2342","4694","31427","0","6142","10238","6211","3939","1805","2610","6245","37190","68617","0","4335","5140","3561","2354","1215","1328","2482","20415","0","4966","7916","4211","2398","1121","1586","3524","25722","46137"
"Low-income; Mental and behavioral disorders","0","71","620","2686","3446","1144","850","1183","10000","0","24","486","1167","1307","605","512","911","5012","15012","0","72","379","1550","2189","746","634","785","6355","0","22","302","669","844","387","359","578","3161","9516"
"Low-income; Unipolar depressive disorders","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","1","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Low-income; Bipolar disorder","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Low-income; Schizophrenia","0","0","0","129","589","211","207","365","1501","0","0","0","78","354","168","162","249","1011","2512","0","0","0","143","605","186","183","301","1418","0","0","0","65","311","153","137","186","852","2270"
"Low-income; Alcohol use disorders","0","0","0","146","618","391","245","168","1568","0","0","0","60","199","145","108","124","636","2204","0","0","0","111","473","283","210","103","1180","0","0","0","41","153","95","85","83","457","1637"
"Low-income; Drug use disorders","0","0","494","2156","1899","381","232","297","5459","0","0","412","855","613","223","161","275","2539","7998","0","0","278","1070","835","156","104","117","2560","0","0","239","428","284","90","73","120","1234","3794"
"Low-income; Anxiety disorders","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Low-income; Eating disorders","0","0","50","126","101","25","25","85","412","0","0","41","135","89","27","24","78","394","806","0","0","38","111","83","20","22","61","335","0","0","35","101","58","19","19","55","287","622"
"Low-income; Pervasive developmental disorders","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Low-income; Childhood behavioural disorders","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Low-income; Idiopathic intellectual disability","0","0","0","5","3","1","0","0","9","0","0","0","6","9","1","0","1","17","26","0","0","2","3","2","0","0","0","7","0","0","1","10","8","1","0","0","20","27"
"Low-income; Other mental and behavioural disorders","0","71","76","126","237","136","141","268","1055","0","24","33","32","44","41","57","184","415","1470","0","72","61","112","192","102","115","204","858","0","22","28","23","31","29","46","134","313","1171"
"Low-income; Neurological conditions","1","5703","8507","12893","10167","5300","6101","13252","61924","1","6301","8000","7426","6947","4770","7263","21501","62209","124133","4","5110","6931","9851","7137","3574","4404","8966","45977","0","5445","6870","5211","4440","3118","4637","12830","42551","88528"
"Low-income; Alzheimer's disease and other dementias","0","0","509","191","272","143","329","1844","3288","0","0","437","194","183","136","423","3410","4783","8071","0","0","497","180","219","90","211","1052","2249","0","0","412","164","133","89","275","1948","3021","5270"
"Low-income; Parkinson's disease","0","0","0","89","148","218","662","2557","3674","0","0","0","77","124","190","547","2275","3213","6887","0","0","0","67","104","162","498","1759","2590","0","0","0","59","96","151","429","1567","2302","4892"
"Low-income; Epilepsy","1","3692","5374","9038","6510","2071","1601","2687","30974","1","4297","5230","5249","3633","1557","1399","3522","24888","55862","4","3367","4399","6895","4499","1497","1211","1812","23684","0","3665","4507","3700","2441","1215","1097","2350","18975","42659"
"Low-income; Multiple sclerosis","0","0","0","53","187","86","61","48","435","0","0","0","67","225","117","87","85","581","1016","0","0","0","45","148","70","48","36","347","0","0","0","50","161","91","66","59","427","774"
"Low-income; Migraine","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Low-income; Non-migraine headache","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Low-income; Other neurological conditions","0","2011","2624","3521","3050","2782","3448","6116","23552","0","2004","2333","1837","2782","2771","4808","12209","28744","52296","0","1743","2036","2664","2167","1756","2437","4307","17110","0","1780","1950","1239","1609","1572","2770","6906","17826","34936"
"Low-income; Sense organ diseases","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Low-income; Glaucoma","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Low-income; Cataracts","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Low-income; Refractive errors","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Low-income; Macular degeneration","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Low-income; Other vision loss","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Low-income; Other hearing loss","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Low-income; other sense organ disorders","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Low-income; Cardiovascular diseases","0","3676","5805","15202","49230","66808","114631","232669","488021","0","4819","7251","13571","38001","49919","94879","302211","510651","998672","0","4368","6021","14799","42321","52268","92215","161388","373380","0","5307","7736","12277","32014","41337","81373","221116","401160","774540"
"Low-income; Rheumatic heart disease","0","251","987","1982","3526","2376","3047","5111","17280","0","480","1567","2802","4242","2597","3458","7112","22258","39538","0","414","1384","2415","4007","2410","3036","4457","18123","0","687","2122","2964","4339","2530","3280","5709","21631","39754"
"Low-income; Hypertensive heart disease","0","125","184","644","2310","3352","6015","12718","25348","0","472","449","817","3594","5284","10226","31023","51865","77213","0","149","187","602","1874","2451","4559","7943","17765","0","513","451","732","2925","4057","8111","21166","37955","55720"
"Low-income; Ischaemic heart disease","0","860","1048","5040","18499","26424","40460","77907","170238","0","1030","1021","3123","10078","15284","30266","95310","156112","326350","0","1040","1005","4839","15529","19456","30384","48582","120835","0","1106","1004","2628","8104","12171","24378","64794","114185","235020"
"Low-income; Stroke","0","0","1923","4355","17329","27210","52324","108218","211359","0","0","2209","3693","14194","21383","42364","142848","226691","438050","0","0","1864","4141","15033","22645","44750","81680","170113","0","0","2206","3361","12316","18636","39074","111803","187396","357509"
"Low-income; Cardiomyopathy, myocarditis, endocarditis","0","1434","890","1683","4017","3611","5071","8806","25512","0","1407","965","1366","2413","1880","2951","8164","19146","44658","0","1585","832","1460","3071","2499","3682","5662","18791","0","1381","929","1098","1743","1422","2269","5557","14399","33190"
"Low-income; Other circulatory diseases","0","1007","773","1498","3549","3834","7714","19909","38284","0","1431","1041","1769","3480","3491","5614","17755","34581","72865","0","1181","750","1342","2808","2808","5804","13063","27756","0","1620","1024","1493","2587","2521","4262","12087","25594","53350"
"Low-income; Respiratory diseases","0","8429","3752","7136","11361","14753","36208","91988","173627","0","6086","2792","4600","8427","10848","26505","76027","135285","308912","0","13193","4393","7899","11590","13237","32486","66654","149452","0","9438","3463","5087","8557","10514","25460","60077","122596","272048"
"Low-income; Chronic obstructive pulmonary disease","0","2795","756","1827","4107","7788","23052","61484","101809","0","1628","470","1046","2872","5829","17805","54534","84184","185993","0","4695","965","2316","4458","7035","20460","42421","82350","0","2872","635","1302","3257","6050","17237","42027","73380","155730"
"Low-income; Asthma","0","1335","1837","3079","3765","3684","6683","14837","35220","0","1057","1064","1559","3146","3132","5178","11588","26724","61944","0","1984","2087","3209","3630","3196","5979","11627","31712","0","1697","1285","1650","2923","2661","4761","9351","24328","56040"
