"Region; Causes","Number of deaths; 2012; Male; 0-27 days","Number of deaths; 2012; Male; 1-59 months","Number of deaths; 2012; Male; 5-14 years","Number of deaths; 2012; Male; 15-29  years","Number of deaths; 2012; Male; 30-49 years","Number of deaths; 2012; Male; 50-59  years","Number of deaths; 2012; Male; 60-69  years","Number of deaths; 2012; Male; 70+  years","Number of deaths; 2012; Male; All ages (total) years","Number of deaths; 2012; Female; 0-27 days","Number of deaths; 2012; Female; 1-59 months","Number of deaths; 2012; Female; 5-14 years","Number of deaths; 2012; Female; 15-29  years","Number of deaths; 2012; Female; 30-49 years","Number of deaths; 2012; Female; 50-59  years","Number of deaths; 2012; Female; 60-69  years","Number of deaths; 2012; Female; 70+  years","Number of deaths; 2012; Female; All ages (total) years","Number of deaths; 2012; Both sexes; All ages (total) years","Number of deaths; 2000; Male; 0-27 days","Number of deaths; 2000; Male; 1-59 months","Number of deaths; 2000; Male; 5-14 years","Number of deaths; 2000; Male; 15-29  years","Number of deaths; 2000; Male; 30-49 years","Number of deaths; 2000; Male; 50-59  years","Number of deaths; 2000; Male; 60-69  years","Number of deaths; 2000; Male; 70+  years","Number of deaths; 2000; Male; All ages (total) years","Number of deaths; 2000; Female; 0-27 days","Number of deaths; 2000; Female; 1-59 months","Number of deaths; 2000; Female; 5-14 years","Number of deaths; 2000; Female; 15-29  years","Number of deaths; 2000; Female; 30-49 years","Number of deaths; 2000; Female; 50-59  years","Number of deaths; 2000; Female; 60-69  years","Number of deaths; 2000; Female; 70+  years","Number of deaths; 2000; Female; All ages (total) years","Number of deaths; 2000; Both sexes; All ages (total) years"
"High-income; Measles","0","55","8","5","4","2","1","2","77","0","54","8","3","3","1","1","3","73","150","0","90","49","10","7","2","0","1","159","0","95","52","11","6","2","0","1","167","326"
"High-income; Tetanus","14","0","1","2","6","9","8","26","66","12","0","1","1","2","3","5","47","71","137","31","1","3","9","20","15","19","40","138","23","0","2","2","6","8","10","64","115","253"
"High-income; Meningitis","33","498","105","217","354","363","338","682","2590","25","335","91","128","186","220","255","730","1970","4560","52","1038","210","472","675","405","440","601","3893","38","731","201","290","366","269","334","797","3026","6919"
"High-income; Encephalitis","2","109","24","54","69","108","91","124","581","2","64","18","30","36","64","65","130","409","990","4","234","47","184","230","132","116","111","1058","3","159","44","95","124","78","80","141","724","1782"
"High-income; Acute hepatitis B","5","9","3","46","544","754","702","870","2933","9","6","5","15","138","262","398","1059","1892","4825","18","40","14","165","882","863","652","799","3433","16","21","6","79","303","290","412","844","1971","5404"
"High-income; Acute hepatitis C","0","0","1","18","1368","4328","2789","3299","11803","0","0","0","16","538","1646","1414","5444","9058","20861","0","0","1","43","1727","1389","1528","2078","6766","0","1","1","29","584","570","1224","2847","5256","12022"
"High-income; Parasitic and vector diseases","9","212","51","78","134","131","130","249","994","6","232","53","54","101","103","137","300","986","1980","20","435","84","126","198","118","127","245","1353","11","415","88","86","130","95","141","264","1230","2583"
"High-income; Malaria","0","176","9","14","30","27","15","16","287","0","211","11","13","19","10","8","17","289","576","1","333","8","12","40","27","12","17","450","1","353","10","11","17","9","9","14","424","874"
"High-income; Trypanosomiasis","0","0","2","3","2","1","0","0","8","0","0","3","3","2","1","0","0","9","17","0","0","10","11","12","1","0","0","34","0","0","12","7","9","1","0","0","29","63"
"High-income; Chagas disease","0","0","0","0","3","8","6","24","41","0","0","0","0","1","2","8","27","38","79","0","0","0","0","0","4","6","20","30","0","0","0","1","1","2","6","16","26","56"
"High-income; Schistosomiasis","0","0","1","4","12","11","10","13","51","0","0","1","3","11","11","10","19","55","106","0","0","1","3","13","6","9","13","45","0","1","1","3","10","7","9","16","47","92"
"High-income; Leishmaniasis","2","12","6","5","3","4","5","5","42","1","3","2","1","1","2","1","4","15","57","9","42","13","16","12","4","6","7","109","4","15","6","6","4","1","3","6","45","154"
"High-income; Lymphatic filariasis","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"High-income; Onchocerciasis","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"High-income; Leprosy","0","0","0","1","1","0","1","5","8","0","0","0","0","0","0","0","5","5","13","0","0","0","0","0","1","3","11","15","0","0","0","0","0","0","2","18","20","35"
"High-income; Dengue","7","20","17","28","43","31","33","64","243","5","15","22","23","41","24","33","83","246","489","11","50","24","48","51","19","26","44","273","7","41","28","31","47","17","27","51","249","522"
"High-income; Trachoma","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"High-income; Rabies","0","4","16","21","40","52","62","123","318","0","3","14","12","26","53","76","144","328","646","0","9","28","36","70","55","65","133","396","0","5","31","27","42","59","86","144","394","790"
"High-income; Intestinal nematode infections","0","1","2","0","0","0","0","1","4","0","0","2","0","0","0","0","1","3","7","0","3","3","1","2","0","0","3","12","0","2","2","0","0","0","1","2","7","19"
"High-income; Ascariasis","0","1","2","0","0","0","0","1","4","0","0","2","0","0","0","0","1","3","7","0","3","3","1","2","0","0","3","12","0","2","2","0","0","0","1","2","7","19"
"High-income; Trichuriasis","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"High-income; Hookworm disease","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"High-income; Other infectious diseases","347","412","295","698","2602","4419","9137","39107","57017","253","230","220","476","1992","3541","6947","49356","63015","120032","467","678","368","925","3461","3811","6806","24131","40647","358","506","311","629","2276","2566","5307","34882","46835","87482"
"High-income; Respiratory infections","356","2001","564","2236","5560","14817","20995","156762","203291","281","1611","558","1616","3617","5787","9201","169736","192407","395698","1002","4308","765","2584","13550","13437","22129","141382","199157","805","3573","597","1233","4879","4621","9876","183264","208848","408005"
"High-income; Lower respiratory infections","349","1936","557","2210","5497","14764","20934","156530","202777","274","1564","552","1606","3580","5747","9158","169360","191841","394618","986","4231","754","2559","13468","13375","22033","140905","198311","790","3483","585","1211","4833","4590","9820","182278","207590","405901"
"High-income; Upper respiratory infections","4","57","5","22","49","44","49","195","425","2","43","5","7","28","30","34","320","469","894","7","65","10","22","64","52","87","450","757","6","78","9","19","25","22","45","946","1150","1907"
"High-income; Otitis media","4","8","1","5","14","10","12","37","91","4","4","1","3","9","10","9","55","95","186","9","12","1","3","18","10","9","26","88","9","11","2","3","21","8","11","40","105","193"
"High-income; Maternal conditions","0","0","0","0","0","0","0","0","0","0","0","2","1117","1517","48","4","3","2691","2691","0","0","0","0","0","0","0","0","0","0","0","0","1230","1435","5","0","1","2671","2671"
"High-income; Neonatal conditions","20182","2484","12","16","8","3","1","2","22708","15288","1825","11","9","5","1","3","0","17142","39850","27492","3016","23","12","4","1","1","0","30549","20402","2183","16","4","0","1","0","1","22607","53156"
"High-income; Preterm birth complications","12423","1510","4","4","1","0","0","0","13942","9227","1079","3","1","1","0","0","0","10311","24253","16816","1789","1","4","1","0","1","0","18612","12456","1306","3","1","0","0","0","1","13767","32379"
"High-income; Birth asphyxia and birth trauma","3216","426","8","11","7","3","1","2","3674","2557","338","9","7","4","1","3","0","2919","6593","4913","505","22","9","2","1","0","0","5452","3795","386","13","3","0","1","0","0","4198","9650"
"High-income; Neonatal sepsis and infections","1646","1","0","0","0","0","0","0","1647","1231","0","0","0","0","0","0","0","1231","2878","2803","1","0","0","0","0","0","0","2804","2042","0","0","0","0","0","0","0","2042","4846"
"High-income; Other neonatal conditions","2897","548","0","0","0","0","0","0","3445","2272","408","0","0","0","0","0","0","2680","6125","2960","721","0","0","0","0","0","0","3681","2109","492","0","0","0","0","0","0","2601","6282"
"High-income; Nutritional deficiencies","6","45","41","123","306","540","985","7400","9446","7","42","45","91","307","412","715","13500","15119","24565","22","125","84","176","481","482","840","5823","8033","15","109","81","146","408","292","676","12023","13750","21783"
"High-income; Protein-energy malnutrition","3","41","35","90","192","306","556","3497","4720","3","37","39","67","178","249","381","6359","7313","12033","18","117","70","115","286","287","501","3164","4558","4","102","69","93","245","151","372","6259","7295","11853"
"High-income; Iodine deficiency","0","0","0","3","3","2","2","5","15","0","0","0","1","3","5","7","18","34","49","0","0","0","4","7","2","3","5","21","0","0","0","6","8","4","6","17","41","62"
"High-income; Vitamin A deficiency","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","3","0","0","0","0","0","0","0","4","4","7"
"High-income; Iron-deficiency anaemia","1","2","5","28","78","167","315","3301","3897","1","2","6","20","103","125","282","6023","6562","10459","3","7","12","54","145","129","243","2138","2731","2","5","11","41","123","110","239","4665","5196","7927"
"High-income; Other nutritional deficiencies","1","2","1","3","33","66","112","597","815","3","3","1","3","24","33","46","1100","1213","2028","2","2","2","3","43","64","93","512","721","9","3","1","6","32","28","58","1078","1215","1936"
"High-income; Noncommunicable diseases","8118","11723","6393","41213","275800","558239","941087","3216975","5059548","7069","9882","5084","20173","156844","303575","549512","4047219","5099358","10158906","11019","15599","8548","45232","363127","516003","1013077","2700025","4672630","9290","12860","6823","23075","191241","274830","595409","3701099","4814627","9487257"
"High-income; Malignant neoplasms","3","1601","2171","7675","63360","203404","392983","941016","1612213","2","1329","1718","5709","69523","149944","255349","798481","1282055","2894268","3","1821","2908","9495","90896","193419","382584","737333","1418459","3","1445","2187","7129","89521","135127","231631","670092","1137135","2555594"
"High-income; Mouth and oropharynx cancers","0","7","12","183","4134","12418","15119","17183","49056","0","12","9","113","1104","2519","3312","9277","16346","65402","0","14","19","212","6207","11247","12902","12604","43205","0","8","12","112","1296","1878","2656","7709","13671","56876"
"High-income; Oesophagus cancer","0","0","0","45","2497","10479","19204","29360","61585","0","0","1","14","458","1875","3438","11251","17037","78622","0","1","1","40","3745","10521","16557","22141","53006","0","1","0","20","570","1488","3103","10918","16100","69106"
"High-income; Stomach cancer","0","1","2","281","5433","14327","27236","66907","114187","0","0","2","236","3886","6466","11004","48806","70400","184587","0","6","3","355","8799","16894","35729","63138","124924","0","0","3","374","5923","7241","15439","53224","82204","207128"
"High-income; Colon and rectum cancers","0","4","4","424","7634","20662","43371","114022","186121","0","0","3","318","6271","14683","27025","117218","165518","351639","0","3","7","394","8058","19015","41653","90128","159258","0","0","6","298","6917","13381","27794","106431","154827","314085"
"High-income; Liver cancer","0","40","54","244","4953","16105","24833","48008","94237","0","39","31","146","1375","3979","8310","33374","47254","141491","0","51","72","338","6847","13180","24955","33886","79329","0","35","41","167","1804","3347","8661","24998","39053","118382"
"High-income; Pancreas cancer","0","1","2","83","3321","13151","26150","50752","93460","0","0","1","57","2072","8029","18518","62735","91412","184872","0","2","0","94","4196","10667","19299","32360","66618","0","1","3","55","2250","6044","13517","44239","66109","132727"
"High-income; Trachea, bronchus, lung cancers","0","8","10","237","12067","57277","116403","230625","416627","0","7","6","119","7693","26872","52102","126304","213103","629730","0","5","14","288","20061","57025","119806","190941","388140","0","14","7","159","9236","20797","38966","92397","161576","549716"
"High-income; Melanoma and other skin cancers","0","4","2","273","2455","4349","6946","17122","31151","0","2","6","215","1808","2555","3583","13109","21278","52429","0","1","7","338","2932","3560","4838","9602","21278","0","4","5","254","2260","2029","2836","9279","16667","37945"
"High-income; Breast cancer","0","0","0","0","0","0","0","0","0","0","0","1","365","20272","34115","44930","103914","203597","203597","0","0","0","0","0","0","0","0","0","0","0","3","416","26602","34436","39825","88970","190252","190252"
"High-income; Cervix uteri cancer","0","0","0","0","0","0","0","0","0","0","0","0","422","7089","7245","6721","12854","34331","34331","0","0","0","0","0","0","0","0","0","0","0","1","477","8280","6217","6459","12855","34289","34289"
"High-income; Corpus uteri cancer","0","0","0","0","0","0","0","0","0","0","0","0","35","1006","4004","8600","20949","34594","34594","0","0","0","0","0","0","0","0","0","0","0","2","38","1099","3144","7374","18284","29941","29941"
"High-income; Ovary cancer","0","0","0","0","0","0","0","0","0","0","2","7","314","3901","10299","15660","33140","63323","63323","0","0","0","0","0","0","0","0","0","0","0","14","358","5708","9568","14012","28533","58193","58193"
"High-income; Prostate cancer","0","3","1","21","474","4936","20993","126791","153219","0","0","0","0","0","0","0","0","0","153219","0","2","0","18","583","4091","20348","107693","132735","0","0","0","0","0","0","0","0","0","132735"
"High-income; Bladder cancer","0","1","0","20","716","4103","11103","46159","62102","0","0","0","11","383","1164","2606","18561","22725","84827","0","1","1","24","989","3646","10646","34244","49551","0","0","1","13","437","880","2445","15931","19707","69258"
"High-income; Lymphomas, multiple myeloma","0","76","179","982","3537","7870","15770","46886","75300","0","36","81","622","2002","4663","10652","46688","64744","140044","0","89","289","1465","5760","8483","15781","35005","66872","0","59","133","922","3445","5550","11749","40275","62133","129005"
"High-income; Leukaemia","0","552","637","1526","2931","4835","10891","33782","55154","0","534","469","870","2155","3348","6729","29690","43795","98949","0","743","1058","2199","4235","4957","10022","24100","47314","0","625","703","1367","3227","3329","6620","24089","39960","87274"
"High-income; Other malignant neoplasms","3","904","1269","3356","13210","32892","54963","113417","220014","2","695","1102","1853","8049","18129","32161","110613","172604","392618","3","903","1437","3732","18483","30135","50050","81490","186233","3","699","1253","2098","10467","15800","30178","91963","152461","338694"
"High-income; Other neoplasms","29","281","194","377","1352","2572","5788","28169","38762","21","227","159","207","1137","2013","3884","30226","37874","76636","26","340","256","522","2022","2768","5844","20174","31952","27","274","261","385","1503","2074","3844","24114","32482","64434"
"High-income; Diabetes mellitus","10","20","59","724","6266","12776","23705","78440","122000","12","17","41","472","3193","6934","15554","105592","131815","253815","5","26","59","938","7509","11250","22859","61351","103997","6","36","69","752","4208","7572","19944","100412","132999","236996"
"High-income; Endocrine, blood, immune disorders","0","1015","483","1484","4390","5394","7728","25202","45696","0","801","394","996","3032","3709","6064","39717","54713","100409","0","1271","579","1406","3934","3483","4851","16172","31696","0","1052","468","1122","2975","2677","4265","29712","42271","73967"
"High-income; Mental and behavioral disorders","0","8","107","9414","29499","21115","13115","12229","85487","0","13","70","2561","9397","7465","4904","12870","37280","122767","1","19","105","7640","30279","12834","9417","8045","68340","1","23","74","1742","6627","3585","2991","11128","26171","94511"
"High-income; Unipolar depressive disorders","0","0","0","11","126","117","136","751","1141","0","0","0","10","72","110","152","1773","2117","3258","0","2","0","21","106","79","93","774","1075","1","3","0","19","67","88","119","1703","2000","3075"
"High-income; Bipolar disorder","0","0","0","6","22","29","45","151","253","0","0","0","3","18","29","81","262","393","646","0","0","0","2","15","14","17","66","114","0","0","0","0","9","22","28","177","236","350"
"High-income; Schizophrenia","0","0","1","37","301","323","397","629","1688","0","0","0","15","127","193","286","1227","1848","3536","0","0","0","62","338","200","243","461","1304","0","0","1","28","178","147","227","995","1576","2880"
"High-income; Alcohol use disorders","0","0","0","1250","13716","14886","9710","5009","44571","0","0","0","233","3400","4102","2774","1888","12397","56968","0","0","0","1441","18564","10407","7723","3150","41285","0","0","0","192","3197","2410","1866","1194","8859","50144"
"High-income; Drug use disorders","0","0","90","7967","14820","5140","1922","1728","31667","0","0","51","2116","5309","2631","1068","1615","12790","44457","0","0","75","5922","10759","1705","742","681","19884","0","0","41","1308","2722","638","350","764","5823","25707"
"High-income; Anxiety disorders","0","0","0","1","4","5","10","17","37","0","0","0","0","2","1","1","10","14","51","0","0","0","1","3","1","2","11","18","0","0","0","0","1","0","5","27","33","51"
"High-income; Eating disorders","0","0","1","53","96","71","112","956","1289","0","0","6","122","233","121","137","1850","2469","3758","0","0","2","58","97","55","81","717","1010","0","0","8","128","202","84","92","1923","2437","3447"
"High-income; Pervasive developmental disorders","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"High-income; Childhood behavioural disorders","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"High-income; Idiopathic intellectual disability","0","4","10","37","134","156","201","197","739","0","11","11","35","102","101","95","215","570","1309","0","11","22","76","142","95","89","132","567","0","16","19","41","126","73","79","145","499","1066"
"High-income; Other mental and behavioural disorders","0","4","5","52","281","387","582","2792","4103","0","2","2","28","134","177","310","4031","4684","8787","0","6","6","56","256","279","427","2053","3083","0","4","5","26","124","123","224","4200","4706","7789"
"High-income; Neurological conditions","85","769","1195","3394","8201","10577","21918","229650","275789","76","616","870","1757","5424","8122","18312","421346","456523","732312","79","993","1552","3806","8424","7272","13721","96389","132236","55","789","1114","1876","5697","5765","11180","182689","209165","341401"
"High-income; Alzheimer's disease and other dementias","8","97","90","58","441","1554","7326","167105","176679","7","67","70","45","310","1381","6685","363971","372536","549215","11","116","119","118","586","829","3900","59411","65090","5","91","106","76","378","780","3739","143436","148611","213701"
"High-income; Parkinson's disease","0","1","0","19","95","416","2525","39499","42555","0","1","0","7","43","213","1362","32907","34533","77088","0","0","2","16","80","297","1823","21927","24145","0","2","0","6","55","155","1118","20611","21947","46092"
"High-income; Epilepsy","14","222","254","964","2180","1494","1207","2690","9025","11","197","191","611","1072","654","738","3744","7218","16243","8","235","355","1150","2909","1101","882","1361","8001","8","179","249","737","1240","526","493","1817","5249","13250"
"High-income; Multiple sclerosis","0","0","2","39","674","1022","1303","1189","4229","0","0","1","39","1000","1680","2148","2525","7393","11622","0","0","0","63","929","934","769","695","3390","0","1","1","68","1437","1420","1183","1502","5612","9002"
"High-income; Migraine","0","0","0","0","0","1","0","0","1","0","0","0","0","2","1","0","3","6","7","0","0","0","0","1","1","1","2","5","0","0","0","0","2","1","1","2","6","11"
"High-income; Non-migraine headache","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"High-income; Other neurological conditions","64","448","849","2314","4810","6089","9557","19166","43297","58","351","607","1056","2998","4194","7379","18197","34840","78137","60","642","1077","2459","3920","4111","6346","12994","31609","42","516","758","989","2585","2882","4647","15321","27740","59349"
"High-income; Sense organ diseases","0","0","0","0","1","0","2","14","17","0","0","0","0","0","0","0","22","22","39","0","0","0","1","0","0","3","19","23","0","0","0","0","0","0","0","43","43","66"
"High-income; Glaucoma","0","0","0","0","1","0","0","10","11","0","0","0","0","0","0","0","16","16","27","0","0","0","1","0","0","3","13","17","0","0","0","0","0","0","0","24","24","41"
"High-income; Cataracts","0","0","0","0","0","0","0","3","3","0","0","0","0","0","0","0","4","4","7","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","13","13","15"
"High-income; Refractive errors","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"High-income; Macular degeneration","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"High-income; Other vision loss","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"High-income; Other hearing loss","0","0","0","0","0","0","2","2","4","0","0","0","0","0","0","0","3","3","7","0","0","0","0","0","0","0","4","4","0","0","0","0","0","0","0","6","6","10"
"High-income; other sense organ disorders","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"High-income; Cardiovascular diseases","6","855","789","10681","108370","217046","348487","1387561","2073795","4","705","637","4065","37730","78516","166133","2076193","2363983","4437778","6","1177","1077","13030","154647","214850","446263","1357915","2188965","5","999","833","5078","51233","82787","249361","2231728","2622024","4810989"
"High-income; Rheumatic heart disease","0","7","16","274","1388","1618","1799","6230","11332","1","8","15","163","812","1282","2186","14713","19180","30512","1","21","36","492","3074","2406","3145","5567","14742","0","15","33","212","1780","2204","4603","15107","23954","38696"
"High-income; Hypertensive heart disease","2","12","15","351","5412","10507","15034","66699","98032","0","10","11","134","2389","4859","8804","138387","154594","252626","0","17","19","292","4471","6586","12183","40732","64300","0","18","14","136","2133","3451","8902","90931","105585","169885"
"High-income; Ischaemic heart disease","4","42","108","3872","57619","129693","202271","671177","1064786","3","33","78","1061","13671","34756","78738","852798","981138","2045924","4","95","154","4912","87896","131143","262016","685861","1172081","4","59","106","1159","18921","36522","121269","965502","1143542","2315623"
"High-income; Stroke","0","0","242","1985","18968","42567","79596","364710","508068","0","0","220","1009","10534","23565","50293","632074","717695","1225763","0","0","314","2539","28772","45268","115420","381965","574278","0","0","300","1338","16208","27347","85245","751394","881832","1456110"
"High-income; Cardiomyopathy, myocarditis, endocarditis","0","360","180","1847","11111","13351","13246","31903","71998","0","334","137","554","3122","4316","5526","32911","46900","118898","0","402","246","2030","14658","11526","14238","26393","69493","0","414","176","676","3884","3985","6448","29534","45117","114610"
"High-income; Other circulatory diseases","0","434","229","2352","13873","19310","36543","246842","319583","0","320","177","1144","7203","9738","20586","405310","444478","764061","0","643","307","2765","15777","17922","39262","217399","294075","0","493","206","1557","8308","9279","22895","379260","421998","716073"
"High-income; Respiratory diseases","8","649","307","1314","6579","18431","49501","279259","356048","6","481","216","745","4354","11584","30842","240709","288937","644985","9","850","401","1847","10126","18357","57929","230676","320195","3","654","299","922","5206","9404","27882","195446","239816","560011"
"High-income; Chronic obstructive pulmonary disease","6","109","32","216","2633","11949","34518","178199","227662","5","67","24","99","1661","7532","22433","141335","173156","400818","7","136","52","404","4563","11689","41893","160712","219456","2","103","36","139","1651","5308","18709","119227","145175","364631"
"High-income; Asthma","3","72","147","369","901","994","1302","4900","8688","1","65","85","220","813","936","1177","8440","11737","20425","2","128","198","583","1756","1726","3759","9248","17400","1","80","128","342","1484","1413","2611","13396","19455","36855"
"High-income; Other respiratory diseases","0","467","128","728","3045","5489","13680","96160","119697","0","349","108","426","1879","3116","7232","90934","104044","223741","0","587","152","859","3807","4942","12278","60717","83342","0","471","134","441","2070","2683","6562","62823","75184","158526"
"High-income; Digestive diseases","53","349","193","3629","40661","55523","57666","120453","278527","39","262","158","1585","16773","25335","30507","161990","236649","515176","81","666","299","3094","45749","42752","52976","95808","241425","63","452","265","1295","15945","17546","27984","139203","202753","444178"
"High-income; Peptic ulcer disease","0","7","8","287","2141","3330","3640","9173","18586","0","4","5","54","519","1084","1557","11266","14489","33075","0","6","13","311","3005","3002","4466","11188","21991","1","4","13","73","691","875","1865","14492","18014","40005"
"High-income; Cirrhosis of the liver","1","12","27","1653","26423","35856","31698","28170","123840","1","13","23","858","11380","16091","14529","23659","66554","190394","1","26","48","1163","29700","28116","29747","23367","112168","2","33","43","489","10050","10574","13233","20170","54594","166762"
"High-income; Appendicitis","0","9","14","84","282","298","363","928","1978","0","5","19","26","112","158","226","1046","1592","3570","2","20","31","105","333","248","351","723","1813","0","16","32","45","130","127","231","934","1515","3328"
