"Region; Causes","Number of deaths; 2012; Male; 0-27 days","Number of deaths; 2012; Male; 1-59 months","Number of deaths; 2012; Male; 5-14 years","Number of deaths; 2012; Male; 15-29  years","Number of deaths; 2012; Male; 30-49 years","Number of deaths; 2012; Male; 50-59  years","Number of deaths; 2012; Male; 60-69  years","Number of deaths; 2012; Male; 70+  years","Number of deaths; 2012; Male; All ages (total) years","Number of deaths; 2012; Female; 0-27 days","Number of deaths; 2012; Female; 1-59 months","Number of deaths; 2012; Female; 5-14 years","Number of deaths; 2012; Female; 15-29  years","Number of deaths; 2012; Female; 30-49 years","Number of deaths; 2012; Female; 50-59  years","Number of deaths; 2012; Female; 60-69  years","Number of deaths; 2012; Female; 70+  years","Number of deaths; 2012; Female; All ages (total) years","Number of deaths; 2012; Both sexes; All ages (total) years","Number of deaths; 2000; Male; 0-27 days","Number of deaths; 2000; Male; 1-59 months","Number of deaths; 2000; Male; 5-14 years","Number of deaths; 2000; Male; 15-29  years","Number of deaths; 2000; Male; 30-49 years","Number of deaths; 2000; Male; 50-59  years","Number of deaths; 2000; Male; 60-69  years","Number of deaths; 2000; Male; 70+  years","Number of deaths; 2000; Male; All ages (total) years","Number of deaths; 2000; Female; 0-27 days","Number of deaths; 2000; Female; 1-59 months","Number of deaths; 2000; Female; 5-14 years","Number of deaths; 2000; Female; 15-29  years","Number of deaths; 2000; Female; 30-49 years","Number of deaths; 2000; Female; 50-59  years","Number of deaths; 2000; Female; 60-69  years","Number of deaths; 2000; Female; 70+  years","Number of deaths; 2000; Female; All ages (total) years","Number of deaths; 2000; Both sexes; All ages (total) years"
"Upper-middle-income; Colon and rectum cancers","0","2","8","898","10227","18588","28538","70197","128458","0","1","4","908","8597","13551","19451","62861","105373","233831","0","4","12","1393","11394","13086","21807","70,270","128,531","0","0","7","940","7529","8391","13802","62,986","105,498","234,029"
"Upper-middle-income; Liver cancer","0","52","683","4063","58169","72387","70705","111014","317073","0","33","311","981","12247","20324","27290","64153","125339","442412","0","45","1386","7898","79214","50805","47705","111,055","317,114","0","37","565","1180","11773","12500","17573","64,211","125,397","442,511"
"Upper-middle-income; Pancreas cancer","0","1","1","259","4430","11194","16299","28027","60211","0","1","2","178","2506","6642","11474","26455","47258","107469","0","1","1","219","3905","6894","11287","28,055","60,239","0","1","3","164","1890","3733","7379","26,515","47,318","107,557"
"Upper-middle-income; Trachea, bronchus, lung cancers","0","12","15","1173","32449","89882","137551","276886","537968","0","4","19","671","14883","31325","48398","129055","224355","762323","0","5","24","1714","36204","60697","98238","277,011","538,093","0","8","9","746","12786","18288","31232","129,174","224,474","762,567"
"Upper-middle-income; Melanoma and other skin cancers","0","5","5","342","1755","2348","3227","7863","15545","0","4","12","267","1347","1465","2027","7469","12591","28136","0","3","7","349","1700","1396","2196","7,901","15,583","0","6","9","263","1079","908","1391","7,518","12,640","28,223"
"Upper-middle-income; Breast cancer","0","0","0","0","0","0","0","0","0","0","1","2","1447","31800","31724","26537","36602","128113","128113","0","0","0","0","0","0","0","0","0","0","0","1","1352","27233","19584","17732","36,695","128,206","128,206"
"Upper-middle-income; Cervix uteri cancer","0","0","0","0","0","0","0","0","0","0","1","1","1434","20054","16445","13931","18681","70547","70547","0","0","0","0","0","0","0","0","0","0","0","0","1565","19160","11807","11109","18,757","70,623","70,623"
"Upper-middle-income; Corpus uteri cancer","0","0","0","0","0","0","0","0","0","0","0","1","322","4115","6154","6854","9182","26628","26628","0","0","0","0","0","0","0","0","0","0","0","1","416","3106","3626","4964","9,193","26,639","26,639"
"Upper-middle-income; Ovary cancer","0","0","0","0","0","0","0","0","0","0","2","27","855","6853","8920","8593","10709","35959","35959","0","0","0","0","0","0","0","0","0","0","2","28","1038","5981","5768","6474","10,733","35,983","35,983"
"Upper-middle-income; Prostate cancer","0","2","1","155","485","3223","13180","73632","90678","0","0","0","0","0","0","0","0","0","90678","0","0","0","154","511","2116","9954","73,924","90,970","0","0","0","0","0","0","0","0","0","90,970"
"Upper-middle-income; Bladder cancer","0","4","3","122","1217","3715","7808","27252","40121","0","1","1","50","496","1069","1919","9404","12940","53061","0","5","5","178","1357","2772","6786","27,274","40,143","0","0","0","74","557","754","1617","9,418","12,954","53,097"
"Upper-middle-income; Lymphomas, multiple myeloma","0","452","904","2548","7038","8911","11859","16394","48106","0","393","485","1643","4505","5381","8067","14339","34813","82919","0","589","1484","3137","6934","5898","8858","16,420","48,132","0","499","827","1712","3914","3475","5523","14,377","34,851","82,983"
"Upper-middle-income; Leukaemia","0","3694","3730","7080","9512","7291","8913","14960","55180","0","2591","2749","4963","7961","5814","6432","10751","41261","96441","0","5052","6469","9495","10671","4544","6070","14,993","55,213","0","3554","4761","5929","7632","3660","4370","10,791","41,301","96,514"
"Upper-middle-income; Other malignant neoplasms","0","2559","3338","8730","29318","41262","51527","87786","224520","0","1902","2736","5352","20852","27477","36510","79917","174746","399266","0","2675","4976","9537","29383","27187","37909","87,890","224,624","0","2043","4043","5444","18049","17549","27083","80,067","174,896","399,520"
"Upper-middle-income; Other neoplasms","8","317","511","1456","4095","6076","9140","14718","36321","5","254","426","730","4820","5018","6454","14065","31772","68093","13","348","539","1292","3198","3657","6301","14,796","36,399","9","304","505","688","3543","2878","4224","14,194","31,901","68,300"
"Upper-middle-income; Diabetes mellitus","98","211","239","1862","15368","34063","62410","122111","236362","64","199","367","2598","16210","37210","76357","189418","322423","558785","83","287","362","2215","13948","20898","39343","122,309","236,560","96","247","533","2725","13965","24690","53041","189,786","322,791","559,351"
"Upper-middle-income; Endocrine, blood, immune disorders","0","2880","2063","3411","5902","5706","7877","16723","44562","0","2830","2332","3675","6139","5395","7600","22421","50392","94954","0","2722","1739","2872","4072","2765","3882","16,758","44,597","0","2534","1819","2965","4871","3023","4516","22,490","50,461","95,058"
"Upper-middle-income; Mental and behavioral disorders","0","35","670","4865","16010","10744","8437","9137","49898","0","18","536","2148","5274","3735","3364","7965","23040","72938","0","31","556","5238","17321","7527","6215","9,144","49,905","0","19","517","2768","6287","2725","2730","7,976","23,051","72,956"
"Upper-middle-income; Unipolar depressive disorders","0","0","0","13","51","59","69","247","439","0","0","1","16","104","92","80","329","622","1061","0","0","0","7","9","9","8","37","70","0","0","0","4","11","6","20","330","623","1,062"
"Upper-middle-income; Bipolar disorder","0","0","0","2","10","15","6","8","41","0","0","0","1","15","17","7","13","53","94","0","0","0","0","3","2","3","9","42","0","0","0","1","10","3","4","7","25","95"
"Upper-middle-income; Schizophrenia","0","0","1","253","1347","1159","1254","1362","5376","0","0","0","258","1728","1099","1129","2036","6250","11626","0","0","0","886","3528","1213","1353","1612","8592","0","0","1","487","2760","1167","1217","2532","8164","16756"
"Upper-middle-income; Alcohol use disorders","0","0","0","1157","9378","6901","4952","3089","25477","0","0","0","188","1130","856","590","651","3415","28892","0","0","0","1459","10071","5152","3725","3,090","25,478","0","0","0","239","1279","696","559","475","3248","28,893"
"Upper-middle-income; Drug use disorders","0","0","450","2975","4398","1916","1329","2210","13278","0","0","397","1351","1674","1238","993","2241","7894","21172","0","0","337","2250","2980","790","610","2,213","13,281","0","0","381","1676","1771","636","587","2,245","7,898","21,179"
"Upper-middle-income; Anxiety disorders","0","0","0","0","3","1","1","3","8","0","0","0","1","1","1","1","2","6","14","0","0","0","0","1","1","1","0","3","0","0","0","1","0","0","1","0","2","5"
"Upper-middle-income; Eating disorders","0","0","78","201","200","103","125","530","1237","0","0","68","255","337","167","166","810","1803","3040","0","0","83","313","199","51","80","531","1,238","0","0","72","283","274","84","97","812","1,805","3,043"
"Upper-middle-income; Pervasive developmental disorders","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Upper-middle-income; Childhood behavioural disorders","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Upper-middle-income; Idiopathic intellectual disability","0","4","16","61","72","34","20","28","235","0","4","18","27","86","14","24","26","199","434","0","0","2","21","23","13","6","7","72","0","2","4","20","27","8","7","7","75","147"
"Upper-middle-income; Other mental and behavioural disorders","0","31","126","203","551","557","681","1659","3808","0","14","54","51","197","251","374","1857","2798","6606","0","31","133","302","506","298","429","1,662","3,811","0","16","59","56","156","125","238","1,862","2,803","6,614"
"Upper-middle-income; Neurological conditions","23","2359","4581","8197","10283","8396","13939","61513","109291","22","1912","3482","6316","9103","7285","11531","87448","127099","236390","41","2379","4324","11043","11098","5679","8957","61,594","109,372","30","1887","3447","6990","9110","4345","7843","87,565","127,216","236,588"
"Upper-middle-income; Alzheimer's disease and other dementias","1","16","306","335","785","1477","5165","42258","50343","1","14","254","329","598","1390","4072","67345","74003","124346","2","38","403","586","926","941","3108","42,293","50,378","1","23","277","427","704","797","2680","67,396","74,054","124,432"
"Upper-middle-income; Parkinson's disease","0","0","1","78","196","524","2208","10053","13060","0","0","0","103","250","452","1311","8401","10517","23577","0","0","0","100","227","332","1400","10,067","13,074","0","1","0","134","337","285","1048","8,413","10,529","23,603"
"Upper-middle-income; Epilepsy","6","925","2085","4189","4763","2486","2231","2526","19211","9","743","1259","3093","3550","1455","1292","2434","13835","33046","12","863","2162","7183","6341","2117","1653","2,531","19,216","8","675","1441","3967","4357","1099","1145","2,453","13,854","33,070"
"Upper-middle-income; Multiple sclerosis","0","0","1","88","452","498","416","551","2006","0","0","3","149","646","440","415","514","2167","4173","0","0","0","182","624","448","381","562","2197","0","0","1","185","663","312","319","515","2,168","4,174"
"Upper-middle-income; Migraine","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","3","3","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","1"
"Upper-middle-income; Non-migraine headache","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Upper-middle-income; Other neurological conditions","16","1417","2187","3507","4088","3411","3920","6125","24671","12","1155","1967","2642","4059","3548","4442","8754","26579","51250","26","1479","1759","2991","2980","1841","2415","6,153","24,699","20","1188","1729","2278","3049","1851","2652","8,787","26,612","51,311"
"Upper-middle-income; Sense organ diseases","0","2","0","1","0","2","2","17","24","0","0","0","0","5","9","3","23","40","64","0","0","0","19","43","85","95","200","442","0","0","20","0","49","9","49","508","635","1077"
"Upper-middle-income; Glaucoma","0","0","0","0","0","0","0","4","4","0","0","0","0","0","0","0","6","6","10","0","0","0","0","0","24","0","14","38","0","0","0","0","16","0","0","79","95","133"
"Upper-middle-income; Cataracts","0","0","0","0","0","0","0","3","3","0","0","0","0","0","0","0","5","5","8","0","0","0","14","0","0","43","42","99","0","0","0","0","0","0","14","125","139","238"
"Upper-middle-income; Refractive errors","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Upper-middle-income; Macular degeneration","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Upper-middle-income; Other vision loss","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Upper-middle-income; Other hearing loss","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Upper-middle-income; other sense organ disorders","0","2","0","1","0","2","1","9","15","0","0","0","0","5","9","2","11","27","42","0","0","0","5","43","61","52","145","306","0","0","20","0","33","9","35","304","401","707"
"Upper-middle-income; Cardiovascular diseases","2","3916","5140","30758","178589","343066","703701","2128991","3394163","3","3049","4689","21937","130517","239309","526502","2534600","3460606","6854769","3","5108","8317","36121","193393","267390","624423","2,131,748","3,396,920","3","4085","7026","27836","138752","194016","455406","2,538,624","3,464,630","6,861,550"
"Upper-middle-income; Rheumatic heart disease","0","86","426","1880","4425","4677","7946","22105","41545","0","105","381","1811","7194","8749","13491","34439","66170","107715","0","179","1110","3839","8257","5856","10212","22,106","41,546","1","174","1023","4219","12065","8841","13209","34,447","66,178","107,724"
"Upper-middle-income; Hypertensive heart disease","1","164","133","1182","9194","19005","41316","148824","219819","1","164","144","917","8088","15965","36773","201957","264009","483828","1","239","229","1188","10470","18606","47502","149,171","220,166","1","230","170","1363","9789","16846","39139","202,512","264,564","484,730"
"Upper-middle-income; Ischaemic heart disease","1","687","731","10092","79649","148600","271246","804526","1315532","1","461","709","6269","41990","78400","185427","966407","1279664","2595196","2","1223","1357","10440","74852","96370","192085","805,970","1,316,976","1","873","987","6091","35455","50524","126068","968,320","1,281,577","2,598,553"
